Time step,Total load,Net load,Solar PV,Inverter AC,Battery,Electric vehicle,
357,1.596,4.896,0,0,0,3.3,
358,1.295,4.595,0,0,0,3.3,
359,0.994,3.72558,0,0,0,2.73158,
360,0.681,0.681,0,0,0,0,
361,0.576,0.576,0,0,0,0,
362,0.536,0.536,0,0,0,0,
363,0.527,0.527,0,0,0,0,
364,0.521,0.521,0,0,0,0,
365,0.575,0.575,0,0,0,0,
366,0.79,0.79,0,0,0,0,
367,1.105,1.105,0,0,0,0,
368,1.026,1.026,0.174,0,-0.174,0,
369,0.833,0.833,0.426,0,-0.426,0,
370,0.838,0.838,0.426,0,-0.426,0,
371,0.826,-0.1439,1.416,0.9699,-0.395053,0,
372,0.783,-1.4799,2.382,2.2629,0,0,
373,0.779,-0.5377,1.386,1.3167,0,0,
374,0.772,0.1621,0.642,0.6099,0,0,
375,0.808,-0.0299,0.882,0.8379,0,0,
376,0.948,-0.0381,1.038,0.9861,0,0,
377,1.272,0,0.06,1.272,1.27895,0,
378,1.66,1.66,0,0,0,0,
379,1.867,1.867,0,0,0,0,
380,1.83,5.13,0,0,0,3.3,
381,1.596,4.896,0,0,0,3.3,
382,1.295,4.595,0,0,0,3.3,
383,1.006,3.73758,0,0,0,2.73158,
384,0.703,0.703,0,0,0,0,
385,0.6,0.6,0,0,0,0,
386,0.563,0.563,0,0,0,0,
387,0.554,0.554,0,0,0,0,
388,0.55,0.55,0,0,0,0,
389,0.608,0.608,0,0,0,0,
390,0.826,0.826,0,0,0,0,
391,1.138,1.138,0,0,0,0,
392,1.043,1.043,0.72,0,-0.72,0,
393,0.826,-0.1496,1.728,0.9756,-0.701053,0,
394,0.817,-1.5371,2.478,2.3541,0,0,
395,0.809,-2.1436,3.108,2.9526,0,0,
396,0.783,-2.4717,3.426,3.2547,0,0,
397,0.779,-2.3503,3.294,3.1293,0,0,
398,0.772,-1.9469,2.862,2.7189,0,0,
399,0.808,-1.1585,2.07,1.9665,0,0,
400,0.948,-0.2262,1.236,1.1742,0,0,
401,1.272,0,0.078,1.272,1.26095,0,
402,1.66,1.66,0,0,0,0,
403,1.867,1.867,0,0,0,0,
404,1.83,5.13,0,0,0,3.3,
405,1.596,4.896,0,0,0,3.3,
406,1.297,4.597,0,0,0,3.3,
407,1.007,3.73858,0,0,0,2.73158,
408,0.713,0.713,0,0,0,0,
409,0.613,0.613,0,0,0,0,
410,0.58,0.58,0,0,0,0,
411,0.582,0.582,0,0,0,0,
412,0.577,0.577,0,0,0,0,
413,0.631,0.631,0,0,0,0,
414,0.864,0.864,0,0,0,0,
415,1.172,1.172,0,0,0,0,
416,1.075,1.075,0.528,0,-0.528,0,
417,0.867,0.4367,1.326,0.4303,-0.873053,0,
418,0.845,-1.6174,2.592,2.4624,0,0,
419,0.816,-2.2221,3.198,3.0381,0,0,
420,0.783,-2.5002,3.456,3.2832,0,0,
421,0.779,-2.1508,3.084,2.9298,0,0,
422,0.772,-1.8728,2.784,2.6448,0,0,
423,0.808,-1.0673,1.974,1.8753,0,0,
424,0.948,-0.2091,1.218,1.1571,0,0,
425,1.272,0,0.084,1.272,1.25495,0,
426,1.66,1.66,0,0,0,0,
427,1.867,1.867,0,0,0,0,
428,1.83,5.13,0,0,0,3.3,
429,1.596,4.896,0,0,0,3.3,
430,1.306,4.606,0,0,0,3.3,
431,1.021,3.75258,0,0,0,2.73158,
432,0.733,0.733,0,0,0,0,
433,0.63,0.63,0,0,0,0,
434,0.593,0.593,0,0,0,0,
435,0.586,0.586,0,0,0,0,
436,0.583,0.583,0,0,0,0,
437,0.642,0.642,0,0,0,0,
438,0.878,0.878,0,0,0,0,
439,1.191,1.191,0,0,0,0,
440,1.1,1.1,0.684,0,-0.684,0,
441,0.897,0.0214667,1.632,0.875533,-0.710386,0,
442,0.905,-0.5599,1.542,1.4649,0,0,
443,0.89,-1.0081,1.998,1.8981,0,0,
444,0.831,-2.3268,3.324,3.1578,0,0,
445,0.823,-1.115,2.04,1.938,0,0,
446,0.809,-1.7275,2.67,2.5365,0,0,
447,0.848,-0.2692,1.176,1.1172,0,0,
448,0.984,-0.0876,1.128,1.0716,0,0,
449,1.308,0,0.084,1.308,1.29284,0,
450,1.695,1.695,0,0,0,0,
451,1.902,1.902,0,0,0,0,
452,1.866,5.166,0,0,0,3.3,
453,1.634,4.934,0,0,0,3.3,
454,1.341,4.641,0,0,0,3.3,
455,1.044,3.77558,0,0,0,2.73158,
456,0.739,0.739,0,0,0,0,
457,0.634,0.634,0,0,0,0,
458,0.602,0.602,0,0,0,0,
459,0.594,0.594,0,0,0,0,
460,0.592,0.592,0,0,0,0,
461,0.655,0.655,0,0,0,0,
462,0.893,0.893,0,0,0,0,
463,1.208,1.208,0,0,0,0,
464,1.118,1.118,0.69,0,-0.69,0,
465,0.901,-0.00863333,1.704,0.909633,-0.746491,0,
466,0.894,-1.5456,2.568,2.4396,0,0,
467,0.872,-2.1319,3.162,3.0039,0,0,
468,0.831,-2.4237,3.426,3.2547,0,0,
469,0.823,-2.3348,3.324,3.1578,0,0,
470,0.809,-1.9384,2.892,2.7474,0,0,
471,0.848,-1.2211,2.178,2.0691,0,0,
472,0.984,-0.2016,1.248,1.1856,0,0,
473,1.308,0,0.096,1.308,1.28084,0,
474,1.695,1.695,0,0,0,0,
475,1.902,1.902,0,0,0,0,
476,1.866,5.166,0,0,0,3.3,
477,1.631,4.931,0,0,0,3.3,
478,1.336,4.636,0,0,0,3.3,
479,1.036,3.76758,0,0,0,2.73158,
480,0.725,0.725,0,0,0,0,
481,0.628,0.628,0,0,0,0,
482,0.592,0.592,0,0,0,0,
483,0.587,0.587,0,0,0,0,
484,0.586,0.586,0,0,0,0,
485,0.642,0.642,0,0,0,0,
486,0.871,0.871,0,0,0,0,
487,1.179,1.179,0,0,0,0,
488,1.081,1.081,0.714,0,-0.714,0,
489,0.859,-0.1146,1.734,0.9736,-0.709158,0,
490,0.844,-1.6469,2.622,2.4909,0,0,
491,0.817,-2.2439,3.222,3.0609,0,0,
492,0.783,-2.4318,3.384,3.2148,0,0,
493,0.779,-2.4073,3.354,3.1863,0,0,
494,0.772,-2.0039,2.922,2.7759,0,0,
495,0.808,-1.2896,2.208,2.0976,0,0,
496,0.948,-0.2832,1.296,1.2312,0,0,
497,1.272,0,0.114,1.272,1.22495,0,
498,1.66,1.66,0,0,0,0,
499,1.867,1.867,0,0,0,0,
500,1.83,5.13,0,0,0,3.3,
501,1.596,4.896,0,0,0,3.3,
502,1.295,4.595,0,0,0,3.3,
503,1.004,3.73558,0,0,0,2.73158,
504,0.71,0.71,0,0,0,0,
505,0.607,0.607,0,0,0,0,
506,0.578,0.578,0,0,0,0,
507,0.571,0.571,0,0,0,0,
508,0.565,0.565,0,0,0,0,
509,0.628,0.628,0,0,0,0,
510,0.857,0.857,0,0,0,0,
511,1.166,1.166,0,0,0,0,
512,1.071,1.071,0.696,0,-0.696,0,
513,0.845,-0.1933,1.758,1.0383,-0.665053,0,
514,0.827,-1.6924,2.652,2.5194,0,0,
515,0.809,-2.3146,3.288,3.1236,0,0,
516,0.783,-2.5572,3.516,3.3402,0,0,
517,0.779,-2.4358,3.384,3.2148,0,0,
518,0.772,-1.9298,2.844,2.7018,0,0,
519,0.808,-1.3238,2.244,2.1318,0,0,
520,0.948,-0.2661,1.278,1.2141,0,0,
521,1.272,0,0.12,1.272,1.21895,0,
522,1.66,1.66,0,0,0,0,
523,1.867,1.867,0,0,0,0,
524,1.83,5.13,0,0,0,3.3,
525,1.596,4.896,0,0,0,3.3,
526,1.295,4.595,0,0,0,3.3,
527,0.994,3.72558,0,0,0,2.73158,
528,0.683,0.683,0,0,0,0,
529,0.579,0.579,0,0,0,0,
530,0.544,0.544,0,0,0,0,
