Time step,Total load requested [kW],Total load served [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
234,205.84,205.84,0,0,0,0,0,0,0,0,0,0,
235,231.508,231.508,0,0,0,0,0,0,0,0,1488,50,
236,226.92,226.92,0,0,0,0,0,0,0,409.2,1876.74,63.0625,
237,197.904,197.904,0,0,0,0,0,0,0,409.2,2265.48,76.125,
238,160.58,160.58,0,0,0,0,0,0,0,409.2,2654.22,89.1875,
239,123.256,123.256,0,0,0,0,0,0,0,338.716,2976,100,
240,84.196,84.196,0,0,0,0,0,0,0,0,2976,100,
241,70.184,70.184,0,0,0,0,0,0,0,0,2976,100,
242,64.728,64.728,0,0,0,0,0,0,0,0,2976,100,
243,63.24,63.24,0,0,0,0,0,0,0,0,2976,100,
244,62.868,62.868,0,0,0,0,0,0,0,0,0,0,
245,69.564,69.564,0,0,0,0,0,0,0,0,0,0,
246,97.216,97.216,0,0,0,0,0,0,0,0,0,0,
247,135.78,135.78,0,0,0,0,0,0,0,0,0,0,
248,123.876,123.876,0,0,0,0,0,0,0,0,0,0,
249,99.572,99.572,0,0,0,0,0,0,0,0,0,0,
250,99.2,99.2,0,0,0,0,0,0,0,0,0,0,
251,100.316,100.316,0,0,0,0,0,0,0,0,0,0,
252,97.092,97.092,0,0,0,0,0,0,0,0,0,0,
253,96.596,96.596,0,0,0,0,0,0,0,0,0,0,
254,95.728,95.728,0,0,0,0,0,0,0,0,0,0,
255,100.192,100.192,0,0,0,0,0,0,0,0,0,0,
256,117.552,117.552,0,0,0,0,0,0,0,0,0,0,
257,157.728,157.728,0,0,0,0,0,0,0,0,0,0,
258,205.84,205.84,0,0,0,0,0,0,0,0,0,0,
259,231.508,231.508,0,0,0,0,0,0,0,0,1488,50,
260,226.92,226.92,0,0,0,0,0,0,0,409.2,1876.74,63.0625,
261,197.904,197.904,0,0,0,0,0,0,0,409.2,2265.48,76.125,
262,160.58,160.58,0,0,0,0,0,0,0,409.2,2654.22,89.1875,
263,123.256,123.256,0,0,0,0,0,0,0,338.716,2976,100,
264,85.064,85.064,0,0,0,0,0,0,0,0,2976,100,
265,70.68,70.68,0,0,0,0,0,0,0,0,2976,100,
266,64.728,64.728,0,0,0,0,0,0,0,0,2976,100,
267,62.744,62.744,0,0,0,0,0,0,0,0,2976,100,
268,62.62,62.62,0,0,0,0,0,0,0,0,0,0,
269,70.804,70.804,0,0,0,0,0,0,0,0,0,0,
270,98.952,98.952,0,0,0,0,0,0,0,0,0,0,
271,139.748,139.748,0,0,0,0,0,0,0,0,0,0,
272,129.704,129.704,0,0,0,0,0,0,0,0,0,0,
273,105.152,105.152,0,0,0,0,0,0,0,0,0,0,
274,105.524,105.524,0,0,0,0,0,0,0,0,0,0,
275,106.888,106.888,0,0,0,0,0,0,0,0,0,0,
276,103.044,103.044,0,0,0,0,0,0,0,0,0,0,
277,102.052,102.052,0,0,0,0,0,0,0,0,0,0,
278,100.316,100.316,0,0,0,0,0,0,0,0,0,0,
279,105.152,105.152,0,0,0,0,0,0,0,0,0,0,
280,122.016,122.016,0,0,0,0,0,0,0,0,0,0,
281,162.192,162.192,0,0,0,0,0,0,0,0,0,0,
282,210.18,210.18,0,0,0,0,0,0,0,0,0,0,
283,235.848,235.848,0,0,0,0,0,0,0,0,1488,50,
284,231.384,231.384,0,0,0,0,0,0,0,409.2,1876.74,63.0625,
285,202.244,202.244,0,0,0,0,0,0,0,409.2,2265.48,76.125,
286,164.176,164.176,0,0,0,0,0,0,0,409.2,2654.22,89.1875,
287,125.24,125.24,0,0,0,0,0,0,0,338.716,2976,100,
288,85.064,85.064,0,0,0,0,0,0,0,0,2976,100,
289,70.68,70.68,0,0,0,0,0,0,0,0,2976,100,
290,64.728,64.728,0,0,0,0,0,0,0,0,2976,100,
291,63.364,63.364,0,0,0,0,0,0,0,0,2976,100,
292,63.86,63.86,0,0,0,0,0,0,0,0,0,0,
293,71.548,71.548,0,0,0,0,0,0,0,0,0,0,
294,100.564,100.564,0,0,0,0,0,0,0,0,0,0,
295,140.988,140.988,0,0,0,0,0,0,0,0,0,0,
296,130.572,130.572,0,0,0,0,0,0,0,0,0,0,
297,105.152,105.152,0,0,0,0,0,0,0,0,0,0,
298,105.524,105.524,0,0,0,0,0,0,0,0,0,0,
299,106.888,106.888,0,0,0,0,0,0,0,0,0,0,
300,103.044,103.044,0,0,0,0,0,0,0,0,0,0,
301,102.052,102.052,0,0,0,0,0,0,0,0,0,0,
302,100.316,100.316,0,0,0,0,0,0,0,0,0,0,
303,105.152,105.152,0,0,0,0,0,0,0,0,0,0,
304,122.016,122.016,0,0,0,0,0,0,0,0,0,0,
305,162.192,162.192,0,0,0,0,0,0,0,0,0,0,
306,210.18,210.18,0,0,0,0,0,0,0,0,0,0,
307,235.848,235.848,0,0,0,0,0,0,0,0,1488,50,
308,231.384,231.384,0,0,0,0,0,0,0,409.2,1876.74,63.0625,
309,202.244,202.244,0,0,0,0,0,0,0,409.2,2265.48,76.125,
310,164.176,164.176,0,0,0,0,0,0,0,409.2,2654.22,89.1875,
311,125.24,125.24,0,0,0,0,0,0,0,338.716,2976,100,
312,84.196,84.196,0,0,0,0,0,0,0,0,2976,100,
313,70.184,70.184,0,0,0,0,0,0,0,0,2976,100,
314,65.596,65.596,0,0,0,0,0,0,0,0,2976,100,
315,65.472,65.472,0,0,0,0,0,0,0,0,2976,100,
316,65.72,65.72,0,0,0,0,0,0,0,0,0,0,
317,73.284,73.284,0,0,0,0,0,0,0,0,0,0,
318,100.812,100.812,0,0,0,0,0,0,0,0,0,0,
319,139.252,139.252,0,0,0,0,0,0,0,0,0,0,
320,127.1,127.1,0,0,0,0,0,0,0,0,0,0,
321,99.572,99.572,0,0,0,0,0,0,0,0,0,0,
322,99.2,99.2,0,0,0,0,0,0,0,0,0,0,
323,100.316,100.316,0,0,0,0,0,0,0,0,0,0,
324,97.092,97.092,0,0,0,0,0,0,0,0,0,0,
325,96.596,96.596,0,0,0,0,0,0,0,0,0,0,
326,95.728,95.728,0,0,0,0,0,0,0,0,0,0,
327,100.192,100.192,0,0,0,0,0,0,0,0,0,0,
328,117.552,117.552,0,0,0,0,0,0,0,0,0,0,
329,157.728,157.728,0,0,0,0,0,0,0,0,0,0,
330,205.84,205.84,0,0,0,0,0,0,0,0,0,0,
331,231.508,231.508,0,0,0,0,0,0,0,0,1488,50,
332,226.92,226.92,0,0,0,0,0,0,0,409.2,1876.74,63.0625,
333,197.904,197.904,0,0,0,0,0,0,0,409.2,2265.48,76.125,
334,160.58,160.58,0,0,0,0,0,0,0,409.2,2654.22,89.1875,
335,123.256,123.256,0,0,0,0,0,0,0,338.716,2976,100,
336,84.196,84.196,0,0,0,0,0,0,0,0,2976,100,
337,70.184,70.184,0,0,0,0,0,0,0,0,2976,100,
338,64.728,64.728,0,0,0,0,0,0,0,0,2976,100,
339,64.356,64.356,0,0,0,0,0,0,0,0,2976,100,
340,63.86,63.86,0,0,0,0,0,0,0,0,0,0,
341,71.3,71.3,0,0,0,0,0,0,0,0,0,0,
342,98.58,98.58,0,0,0,0,0,0,0,0,0,0,
343,137.516,137.516,0,0,0,0,0,0,0,0,0,0,
344,127.844,127.844,0,0,0,0,0,0,0,0,0,0,
345,103.292,103.292,0,0,0,0,0,0,0,0,0,0,
