Time step,Grid total load,Grid net load,s1 total load,
538,104.284,104.284,104.284,
539,103.54,103.54,103.54,
540,98.952,98.952,98.952,
541,96.596,96.596,96.596,
542,95.728,95.728,95.728,
543,100.192,100.192,100.192,
544,117.552,117.552,117.552,
545,157.728,157.728,157.728,
546,205.84,205.84,205.84,
547,231.508,231.508,231.508,
548,227.168,636.368,636.368,
549,199.02,608.22,608.22,
550,163.432,572.632,572.632,
551,127.348,466.064,466.064,
552,90.272,90.272,90.272,
553,77.5,77.5,77.5,
554,73.904,73.904,73.904,
555,72.912,72.912,72.912,
556,71.672,71.672,71.672,
557,79.236,79.236,79.236,
558,108.004,108.004,108.004,
559,145.452,145.452,145.452,
560,132.804,132.804,132.804,
561,105.276,105.276,105.276,
562,104.036,104.036,104.036,
563,101.432,101.432,101.432,
564,97.092,97.092,97.092,
565,96.596,96.596,96.596,
566,95.728,95.728,95.728,
567,100.192,100.192,100.192,
568,117.552,117.552,117.552,
569,157.728,157.728,157.728,
570,205.84,205.84,205.84,
571,231.508,231.508,231.508,
572,226.92,636.12,636.12,
573,197.904,607.104,607.104,
574,161.696,570.896,570.896,
575,125.24,463.956,463.956,
576,88.164,88.164,88.164,
577,76.384,76.384,76.384,
578,71.424,71.424,71.424,
579,70.432,70.432,70.432,
580,69.812,69.812,69.812,
581,77.748,77.748,77.748,
582,104.532,104.532,104.532,
583,142.476,142.476,142.476,
584,130.076,130.076,130.076,
585,102.424,102.424,102.424,
586,100.316,100.316,100.316,
587,100.316,100.316,100.316,
588,97.092,97.092,97.092,
589,96.596,96.596,96.596,
590,95.728,95.728,95.728,
591,100.192,100.192,100.192,
592,117.552,117.552,117.552,
593,157.728,157.728,157.728,
594,205.84,205.84,205.84,
595,231.508,231.508,231.508,
596,226.92,636.12,636.12,
597,197.904,607.104,607.104,
598,160.58,569.78,569.78,
599,123.256,461.972,461.972,
600,85.808,85.808,85.808,
601,72.54,72.54,72.54,
602,68.82,68.82,68.82,
603,68.572,68.572,68.572,
604,68.076,68.076,68.076,
605,74.772,74.772,74.772,
606,102.92,102.92,102.92,
607,142.476,142.476,142.476,
608,132.308,132.308,132.308,
609,106.268,106.268,106.268,
610,105.524,105.524,105.524,
611,106.888,106.888,106.888,
612,103.044,103.044,103.044,
613,102.052,102.052,102.052,
614,100.316,100.316,100.316,
615,105.152,105.152,105.152,
616,122.016,122.016,122.016,
617,162.192,162.192,162.192,
618,210.18,210.18,210.18,
619,235.848,235.848,235.848,
620,231.384,640.584,640.584,
621,202.244,611.444,611.444,
622,164.176,573.376,573.376,
623,125.24,463.956,463.956,
624,85.064,85.064,85.064,
625,70.68,70.68,70.68,
626,64.728,64.728,64.728,
627,64.108,64.108,64.108,
628,63.984,63.984,63.984,
629,71.3,71.3,71.3,
630,99.82,99.82,99.82,
631,140.864,140.864,140.864,
632,131.564,131.564,131.564,
633,107.88,107.88,107.88,
634,107.88,107.88,107.88,
635,106.888,106.888,106.888,
636,103.044,103.044,103.044,
637,102.052,102.052,102.052,
638,100.316,100.316,100.316,
639,105.152,105.152,105.152,
640,122.016,122.016,122.016,
641,162.192,162.192,162.192,
642,210.18,210.18,210.18,
643,235.848,235.848,235.848,
644,231.384,640.584,640.584,
645,202.244,611.444,611.444,
646,164.176,573.376,573.376,
647,125.24,463.956,463.956,
648,84.32,84.32,84.32,
649,70.928,70.928,70.928,
650,66.216,66.216,66.216,
651,65.348,65.348,65.348,
652,64.728,64.728,64.728,
653,71.548,71.548,71.548,
654,98.58,98.58,98.58,
655,137.888,137.888,137.888,
656,127.596,127.596,127.596,
657,103.292,103.292,103.292,
658,103.54,103.54,103.54,
659,101.928,101.928,101.928,
660,97.092,97.092,97.092,
661,96.596,96.596,96.596,
662,95.728,95.728,95.728,
663,100.192,100.192,100.192,
664,117.552,117.552,117.552,
665,157.728,157.728,157.728,
666,205.84,205.84,205.84,
667,231.508,231.508,231.508,
668,226.92,636.12,636.12,
669,197.904,607.104,607.104,
670,160.58,569.78,569.78,
671,124.62,463.336,463.336,
672,87.42,87.42,87.42,
673,74.4,74.4,74.4,
674,69.564,69.564,69.564,
675,68.696,68.696,68.696,
676,67.332,67.332,67.332,
