Time step,Total load requested [kW],Total load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
109,16460,16460,525,112.623,412.377,0.434041,525,73500,73500,70560,0,0,0,165795,0,220000,100,0,0,0,
110,16180,16180,435,80.2473,354.753,0.41592,435,60900,60900,58464,0,0,0,165795,0,220000,100,0,0,0,
111,16960,16960,299,35.1302,263.87,0.368706,299,41860,41860,40185.6,0,0,0,165795,0,220000,100,0,0,0,
112,19680,19680,169,11.9396,157.06,0.324523,169,23660,23660,22713.6,0,0,0,165795,0,220000,100,0,0,0,
113,26160,26160,2,0.00184521,1.99815,0.0102512,2,280,27250,26160,26970,0,0,165795,26970,191728,87.149,0,0,0,
114,33900,33900,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,0,0,
115,38040,38040,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,255000,51,
116,37320,37320,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,66000,318360,63.672,
117,32620,32620,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,66000,381720,76.344,
118,26480,26480,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,66000,445080,89.016,
119,20280,20280,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,57208.3,500000,100,
120,14160,14160,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,500000,100,
121,12140,12140,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,500000,100,
122,11440,11440,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,500000,100,
123,11260,11260,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,500000,100,
124,11300,11300,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,0,0,
125,12540,12540,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,0,0,
126,17200,17200,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,0,0,
127,23540,23540,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,0,0,
128,22120,22120,58,0.393526,57.6065,0.0753881,58,8120,0,0,-8120,29637.4,8120,138825,0,199474,90.6699,0,0,0,
129,17840,17840,283,10.9502,272.05,0.279031,283,39620,18102.6,17378.5,-21517.4,21517.4,21517.4,146214,0,220000,100,0,0,0,
130,17720,17720,371,22.2724,348.728,0.311757,371,51940,51940,49862.4,0,0,0,165795,0,220000,100,0,0,0,
131,17240,17240,503,74.3033,428.697,0.391502,503,70420,70420,67603.2,0,0,0,165795,0,220000,100,0,0,0,
132,16620,16620,491,64.8028,426.197,0.380014,491,68740,68740,65990.4,0,0,0,165795,0,220000,100,0,0,0,
133,16460,16460,490,81.7147,408.285,0.404518,490,68600,68600,65856,0,0,0,165795,0,220000,100,0,0,0,
134,16180,16180,401,54.3135,346.686,0.382607,401,56140,56140,53894.4,0,0,0,165795,0,220000,100,0,0,0,
135,16960,16960,305,38.2394,266.761,0.374955,305,42700,42700,40992,0,0,0,165795,0,220000,100,0,0,0,
136,19680,19680,181,16.5228,164.477,0.345834,181,25340,25340,24326.4,0,0,0,165795,0,220000,100,0,0,0,
137,26160,26160,2,0.00182142,1.99818,0.010119,2,280,27250,26160,26970,0,0,165795,26970,191728,87.149,0,0,0,
138,33900,33900,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,0,0,
139,38040,38040,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,255000,51,
140,37320,37320,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,66000,318360,63.672,
141,32620,32620,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,66000,381720,76.344,
142,26480,26480,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,66000,445080,89.016,
143,20240,20240,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,57208.3,500000,100,
144,13940,13940,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,500000,100,
145,11920,11920,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,500000,100,
146,11220,11220,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,500000,100,
147,11140,11140,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,500000,100,
148,11100,11100,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,0,0,
149,12240,12240,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,0,0,
150,16720,16720,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,0,0,
151,22980,22980,0,0,0,0,0,0,0,0,0,29637.4,0,138825,0,191728,87.149,0,0,0,
152,21100,21100,101,1.19546,99.8045,0.131514,101,14140,0,0,-14140,29637.4,14140,138825,0,205216,93.2802,0,0,0,
153,16740,16740,221,4.33727,216.663,0.218063,221,30940,15442.6,14824.9,-15497.4,15497.4,15497.4,151692,0,220000,100,0,0,0,
154,16520,16520,347,15.9309,331.069,0.291609,347,48580,48580,46636.8,0,0,0,165795,0,220000,100,0,0,0,
155,16220,16220,365,15.1027,349.897,0.28396,365,51100,51100,49056,0,0,0,165795,0,220000,100,0,0,0,
156,15660,15660,535,96.7885,438.211,0.413674,535,74900,74900,71904,0,0,0,165795,0,220000,100,0,0,0,
157,15580,15580,419,38.0553,380.945,0.345395,419,58660,58660,56313.6,0,0,0,165795,0,220000,100,0,0,0,
158,15440,15440,331,20.7635,310.236,0.315152,331,46340,46340,44486.4,0,0,0,165795,0,220000,100,0,0,0,
159,16160,16160,327,52.6982,274.302,0.400774,327,45780,45780,43948.8,0,0,0,165795,0,220000,100,0,0,0,
160,18960,18960,176,14.0749,161.925,0.33462,176,24640,24640,23654.4,0,0,0,165795,0,220000,100,0,0,0,
161,25440,25440,3,0.00404648,2.99595,0.014987,3,420,26500,25440,26080,0,0,165795,26080,192661,87.5731,0,0,0,
162,33200,33200,0,0,0,0,0,0,0,0,0,28659.3,0,139715,0,192661,87.5731,0,0,0,
163,37340,37340,0,0,0,0,0,0,0,0,0,28659.3,0,139715,0,192661,87.5731,0,255000,51,
164,36600,36600,0,0,0,0,0,0,0,0,0,28659.3,0,139715,0,192661,87.5731,66000,318360,63.672,
165,31920,31920,0,0,0,0,0,0,0,0,0,28659.3,0,139715,0,192661,87.5731,66000,381720,76.344,
166,25900,25900,0,0,0,0,0,0,0,0,0,28659.3,0,139715,0,192661,87.5731,66000,445080,89.016,
167,19880,19880,0,0,0,0,0,0,0,0,0,28659.3,0,139715,0,192661,87.5731,57208.3,500000,100,
168,13580,13580,0,0,0,0,0,0,0,0,0,28659.3,0,139715,0,192661,87.5731,0,500000,100,
169,11320,11320,0,0,0,0,0,0,0,0,0,28659.3,0,139715,0,192661,87.5731,0,500000,100,
170,10520,10520,0,0,0,0,0,0,0,0,0,28659.3,0,139715,0,192661,87.5731,0,500000,100,
171,10500,10500,0,0,0,0,0,0,0,0,0,28659.3,0,139715,0,192661,87.5731,0,500000,100,
172,10440,10440,0,0,0,0,0,0,0,0,0,28659.3,0,139715,0,192661,87.5731,0,0,0,
173,11640,11640,0,0,0,0,0,0,0,0,0,28659.3,0,139715,0,192661,87.5731,0,0,0,
174,16160,16160,0,0,0,0,0,0,0,0,0,28659.3,0,139715,0,192661,87.5731,0,0,0,
175,22460,22460,0,0,0,0,0,0,0,0,0,28659.3,0,139715,0,192661,87.5731,0,0,0,
176,20440,20440,113,1.499,111.501,0.147394,113,15820,0,0,-15820,28659.3,15820,139715,0,207752,94.4327,0,0,0,
177,16060,16060,279,10.2881,268.712,0.275483,279,39060,26220.7,25171.8,-12839.3,12839.3,12839.3,154111,0,220000,100,0,0,0,
178,16000,16000,404,34.2551,369.745,0.33952,404,56560,56560,54297.6,0,0,0,165795,0,220000,100,0,0,0,
179,16180,16180,503,74.0358,428.964,0.391126,503,70420,70420,67603.2,0,0,0,165795,0,220000,100,0,0,0,
180,15660,15660,540,100.663,439.337,0.41713,540,75600,75600,72576,0,0,0,165795,0,220000,100,0,0,0,
181,15580,15580,500,88.79,411.21,0.411552,500,70000,70000,67200,0,0,0,165795,0,220000,100,0,0,0,
182,15440,15440,452,93.4249,358.575,0.429448,452,63280,63280,60748.8,0,0,0,165795,0,220000,100,0,0,0,
183,16160,16160,326,51.3629,274.637,0.398332,326,45640,45640,43814.4,0,0,0,165795,0,220000,100,0,0,0,
184,18960,18960,187,18.6874,168.313,0.353795,187,26180,26180,25132.8,0,0,0,165795,0,220000,100,0,0,0,
185,25440,25440,4,0.00710497,3.9929,0.019736,4,560,26500,25440,25940,0,0,165795,25940,192807,87.6398,0,0,0,
186,33200,33200,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,0,0,
187,37340,37340,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,255000,51,
188,36600,36600,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,66000,318360,63.672,
189,31920,31920,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,66000,381720,76.344,
190,25900,25900,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,66000,445080,89.016,
191,19880,19880,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,57208.3,500000,100,
192,13580,13580,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,500000,100,
193,11320,11320,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,500000,100,
194,10380,10380,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,500000,100,
195,10080,10080,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,500000,100,
196,9820,9820,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,0,0,
197,10880,10880,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,0,0,
198,15180,15180,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,0,0,
199,21600,21600,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,0,0,
200,19960,19960,77,0.697188,76.3028,0.100604,77,10780,0,0,-10780,28505.5,10780,139855,0,203091,92.3141,0,0,0,
201,16060,16060,225,4.58225,220.418,0.222307,225,31500,13774.5,13223.5,-17725.5,17725.5,17725.5,149664,0,220000,100,0,0,0,
202,16000,16000,361,19.4117,341.588,0.303378,361,50540,50540,48518.4,0,0,0,165795,0,220000,100,0,0,0,
203,16180,16180,405,25.2757,379.724,0.314755,405,56700,56700,54432,0,0,0,165795,0,220000,100,0,0,0,
204,15660,15660,371,15.8467,355.153,0.286295,371,51940,51940,49862.4,0,0,0,165795,0,220000,100,0,0,0,
205,15580,15580,366,19.0166,346.983,0.300801,366,51240,51240,49190.4,0,0,0,165795,0,220000,100,0,0,0,
206,15440,15440,330,20.0992,309.901,0.312869,330,46200,46200,44352,0,0,0,165795,0,220000,100,0,0,0,
207,16160,16160,226,8.31379,217.686,0.275306,226,31640,31640,30374.4,0,0,0,165795,0,220000,100,0,0,0,
208,18960,18960,184,16.9133,167.087,0.346434,184,25760,25760,24729.6,0,0,0,165795,0,220000,100,0,0,0,
209,25440,25440,4,0.00701928,3.99298,0.019498,4,560,26500,25440,25940,0,0,165795,25940,192807,87.6398,0,0,0,
210,33200,33200,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,0,0,
211,37340,37340,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,255000,51,
212,36600,36600,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,66000,318360,63.672,
213,31920,31920,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,66000,381720,76.344,
214,25900,25900,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,66000,445080,89.016,
215,19880,19880,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,57208.3,500000,100,
216,13580,13580,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,500000,100,
217,11320,11320,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,500000,100,
218,10380,10380,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,500000,100,
219,10080,10080,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,500000,100,
220,9820,9820,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,0,0,
221,10880,10880,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,0,0,
222,15140,15140,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,0,0,
223,21580,21580,0,0,0,0,0,0,0,0,0,28505.5,0,139855,0,192807,87.6398,0,0,0,
224,20020,20020,17,0.0340379,16.966,0.022247,17,2380,0,0,-2380,28505.5,2380,139855,0,195078,88.6718,0,0,0,
225,16100,16100,113,1.13613,111.864,0.111714,113,15820,0,0,-15820,26125.5,15820,142020,0,210169,95.5314,0,0,0,
226,16100,16100,185,2.58845,182.412,0.155462,185,25900,15594.5,14970.7,-10305.5,10305.5,10305.5,156417,0,220000,100,0,0,0,
