Time step,Total load requested [kW],Total load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
115,2896.75,2896.75,0,0,0,0,0,0,0,0,0,2635.86,0,9186.48,0,12729.4,83.5811,0,18276,50,
116,2841.92,2841.92,0,0,0,0,0,0,0,0,0,2635.86,0,9186.48,0,12729.4,83.5811,5025.9,23050.6,63.0625,
117,2484.01,2484.01,0,0,0,0,0,0,0,0,0,2635.86,0,9186.48,0,12729.4,83.5811,5025.9,27825.2,76.125,
118,2016.45,2016.45,0,0,0,0,0,0,0,0,0,2635.86,0,9186.48,0,12729.4,83.5811,5025.9,32599.8,89.1875,
119,1544.32,1544.32,0,0,0,0,0,0,0,0,0,2635.86,0,9186.48,0,12729.4,83.5811,4160.19,36552,100,
120,1078.28,1078.28,0,0,0,0,0,0,0,0,0,2635.86,0,9186.48,0,12729.4,83.5811,0,36552,100,
121,924.461,924.461,0,0,0,0,0,0,0,0,0,2635.86,0,9186.48,0,12729.4,83.5811,0,36552,100,
122,871.156,871.156,0,0,0,0,0,0,0,0,0,2635.86,0,9186.48,0,12729.4,83.5811,0,36552,100,
123,857.449,857.449,0,0,0,0,0,0,0,0,0,2635.86,0,9186.48,0,12729.4,83.5811,0,36552,100,
124,860.495,860.495,0,0,0,0,0,0,0,0,0,2635.86,0,9186.48,0,12729.4,83.5811,0,0,0,
125,954.921,954.921,0,0,0,0,0,0,0,0,0,2635.86,0,9186.48,0,12729.4,83.5811,0,0,0,
126,1309.78,1309.78,0,0,0,0,0,0,0,0,0,2635.86,0,9186.48,0,12729.4,83.5811,0,0,0,
127,1792.57,1792.57,0,0,0,0,0,0,0,0,0,2635.86,0,9186.48,0,12729.4,83.5811,0,0,0,
128,1684.44,1684.44,58,0.393526,57.6065,0.0753881,58,441.67,0,0,-441.67,2635.86,441.67,9186.48,0,13148.4,86.3323,0,0,0,
129,1358.52,1358.52,283,10.9502,272.05,0.279031,283,2155.04,0,0,-2155.04,2194.19,2155.04,9583.99,0,15192.9,99.7562,0,0,0,
130,1349.38,1349.38,371,22.2724,348.728,0.311757,371,2825.16,2786.02,2646.72,-39.1438,39.1438,39.1438,11523.5,0,15230,100,0,0,0,
131,1312.83,1312.83,503,74.3033,428.697,0.391502,503,3830.35,3830.35,3638.83,0,0,0,11558.8,0,15230,100,0,0,0,
132,1265.61,1265.61,491,64.8028,426.197,0.380014,491,3738.97,3738.97,3552.02,0,0,0,11558.8,0,15230,100,0,0,0,
133,1253.43,1253.43,490,81.7147,408.285,0.404518,490,3731.35,3731.35,3544.78,0,0,0,11558.8,0,15230,100,0,0,0,
134,1232.11,1232.11,401,54.3135,346.686,0.382607,401,3053.62,3053.62,2900.93,0,0,0,11558.8,0,15230,100,0,0,0,
135,1291.5,1291.5,305,38.2394,266.761,0.374955,305,2322.57,2322.57,2206.45,0,0,0,11558.8,0,15230,100,0,0,0,
136,1498.63,1498.63,181,16.5228,164.477,0.345834,181,1378.32,1577.51,1498.63,199.192,0,0,11558.8,199.192,15020,98.6214,0,0,0,
137,1992.08,1992.08,2,0.00182142,1.99818,0.010119,2,15.23,2096.93,1992.08,2081.7,221.325,0,11359.6,2081.7,12825.7,84.2136,0,0,0,
138,2581.49,2581.49,0,0,0,0,0,0,0,0,0,2534.33,0,9277.86,0,12825.7,84.2136,0,0,0,
139,2896.75,2896.75,0,0,0,0,0,0,0,0,0,2534.33,0,9277.86,0,12825.7,84.2136,0,18276,50,
140,2841.92,2841.92,0,0,0,0,0,0,0,0,0,2534.33,0,9277.86,0,12825.7,84.2136,5025.9,23050.6,63.0625,
141,2484.01,2484.01,0,0,0,0,0,0,0,0,0,2534.33,0,9277.86,0,12825.7,84.2136,5025.9,27825.2,76.125,
142,2016.45,2016.45,0,0,0,0,0,0,0,0,0,2534.33,0,9277.86,0,12825.7,84.2136,5025.9,32599.8,89.1875,
143,1541.28,1541.28,0,0,0,0,0,0,0,0,0,2534.33,0,9277.86,0,12825.7,84.2136,4160.19,36552,100,
144,1061.53,1061.53,0,0,0,0,0,0,0,0,0,2534.33,0,9277.86,0,12825.7,84.2136,0,36552,100,
145,907.708,907.708,0,0,0,0,0,0,0,0,0,2534.33,0,9277.86,0,12825.7,84.2136,0,36552,100,
146,854.403,854.403,0,0,0,0,0,0,0,0,0,2534.33,0,9277.86,0,12825.7,84.2136,0,36552,100,
147,848.311,848.311,0,0,0,0,0,0,0,0,0,2534.33,0,9277.86,0,12825.7,84.2136,0,36552,100,
148,845.265,845.265,0,0,0,0,0,0,0,0,0,2534.33,0,9277.86,0,12825.7,84.2136,0,0,0,
149,932.076,932.076,0,0,0,0,0,0,0,0,0,2534.33,0,9277.86,0,12825.7,84.2136,0,0,0,
150,1273.23,1273.23,0,0,0,0,0,0,0,0,0,2534.33,0,9277.86,0,12825.7,84.2136,0,0,0,
151,1749.93,1749.93,0,0,0,0,0,0,0,0,0,2534.33,0,9277.86,0,12825.7,84.2136,0,0,0,
152,1606.76,1606.76,101,1.19546,99.8045,0.131514,101,769.115,0,0,-769.115,2534.33,769.115,9277.86,0,13555.4,89.0044,0,0,0,
153,1274.75,1274.75,221,4.33727,216.663,0.218063,221,1682.91,0,0,-1682.91,1765.21,1682.91,9970.07,0,15151.9,99.4874,0,0,0,
154,1258,1258,347,15.9309,331.069,0.291609,347,2642.41,2560.11,2432.1,-82.2954,82.2954,82.2954,11484.7,0,15230,100,0,0,0,
155,1235.15,1235.15,365,15.1027,349.897,0.28396,365,2779.47,2779.47,2640.5,0,0,0,11558.8,0,15230,100,0,0,0,
156,1192.51,1192.51,535,96.7885,438.211,0.413674,535,4074.02,4074.02,3870.32,0,0,0,11558.8,0,15230,100,0,0,0,
157,1186.42,1186.42,419,38.0553,380.945,0.345395,419,3190.69,3190.69,3031.15,0,0,0,11558.8,0,15230,100,0,0,0,
158,1175.76,1175.76,331,20.7635,310.236,0.315152,331,2520.57,2520.57,2394.54,0,0,0,11558.8,0,15230,100,0,0,0,
159,1230.58,1230.58,327,52.6982,274.302,0.400774,327,2490.11,2490.11,2365.6,0,0,0,11558.8,0,15230,100,0,0,0,
160,1443.8,1443.8,176,14.0749,161.925,0.33462,176,1340.24,1519.79,1443.8,179.554,0,0,11558.8,179.554,15040.7,98.7573,0,0,0,
161,1937.26,1937.26,3,0.00404648,2.99595,0.014987,3,22.845,2039.22,1937.26,2016.37,199.504,0,11379.2,2016.37,12915.3,84.8016,0,0,0,
162,2528.18,2528.18,0,0,0,0,0,0,0,0,0,2439.92,0,9362.83,0,12915.3,84.8016,0,0,0,
163,2843.44,2843.44,0,0,0,0,0,0,0,0,0,2439.92,0,9362.83,0,12915.3,84.8016,0,18276,50,
164,2787.09,2787.09,0,0,0,0,0,0,0,0,0,2439.92,0,9362.83,0,12915.3,84.8016,5025.9,23050.6,63.0625,
165,2430.71,2430.71,0,0,0,0,0,0,0,0,0,2439.92,0,9362.83,0,12915.3,84.8016,5025.9,27825.2,76.125,
166,1972.28,1972.28,0,0,0,0,0,0,0,0,0,2439.92,0,9362.83,0,12915.3,84.8016,5025.9,32599.8,89.1875,
167,1513.86,1513.86,0,0,0,0,0,0,0,0,0,2439.92,0,9362.83,0,12915.3,84.8016,4160.19,36552,100,
168,1034.12,1034.12,0,0,0,0,0,0,0,0,0,2439.92,0,9362.83,0,12915.3,84.8016,0,36552,100,
169,862.018,862.018,0,0,0,0,0,0,0,0,0,2439.92,0,9362.83,0,12915.3,84.8016,0,36552,100,
170,801.098,801.098,0,0,0,0,0,0,0,0,0,2439.92,0,9362.83,0,12915.3,84.8016,0,36552,100,
171,799.575,799.575,0,0,0,0,0,0,0,0,0,2439.92,0,9362.83,0,12915.3,84.8016,0,36552,100,
172,795.006,795.006,0,0,0,0,0,0,0,0,0,2439.92,0,9362.83,0,12915.3,84.8016,0,0,0,
173,886.386,886.386,0,0,0,0,0,0,0,0,0,2439.92,0,9362.83,0,12915.3,84.8016,0,0,0,
174,1230.58,1230.58,0,0,0,0,0,0,0,0,0,2439.92,0,9362.83,0,12915.3,84.8016,0,0,0,
175,1710.33,1710.33,0,0,0,0,0,0,0,0,0,2439.92,0,9362.83,0,12915.3,84.8016,0,0,0,
176,1556.51,1556.51,113,1.499,111.501,0.147394,113,860.495,0,0,-860.495,2439.92,860.495,9362.83,0,13731.6,90.1617,0,0,0,
177,1222.97,1222.97,279,10.2881,268.712,0.275483,279,2124.59,545.163,517.905,-1579.42,1579.42,1579.42,10137.3,0,15230,100,0,0,0,
178,1218.4,1218.4,404,34.2551,369.745,0.33952,404,3076.46,3076.46,2922.64,0,0,0,11558.8,0,15230,100,0,0,0,
179,1232.11,1232.11,503,74.0358,428.964,0.391126,503,3830.35,3830.35,3638.83,0,0,0,11558.8,0,15230,100,0,0,0,
180,1192.51,1192.51,540,100.663,439.337,0.41713,540,4112.1,4112.1,3906.49,0,0,0,11558.8,0,15230,100,0,0,0,
181,1186.42,1186.42,500,88.79,411.21,0.411552,500,3807.5,3807.5,3617.12,0,0,0,11558.8,0,15230,100,0,0,0,
182,1175.76,1175.76,452,93.4249,358.575,0.429448,452,3441.98,3441.98,3269.88,0,0,0,11558.8,0,15230,100,0,0,0,
183,1230.58,1230.58,326,51.3629,274.637,0.398332,326,2482.49,2482.49,2358.37,0,0,0,11558.8,0,15230,100,0,0,0,
184,1443.8,1443.8,187,18.6874,168.313,0.353795,187,1424.01,1519.79,1443.8,95.7887,0,0,11558.8,95.7887,15129,99.337,0,0,0,
185,1937.26,1937.26,4,0.00710497,3.9929,0.019736,4,30.46,2039.22,1937.26,2008.76,106.432,0,11463,2008.76,13011.6,85.4341,0,0,0,
186,2528.18,2528.18,0,0,0,0,0,0,0,0,0,2338.38,0,9454.21,0,13011.6,85.4341,0,0,0,
187,2843.44,2843.44,0,0,0,0,0,0,0,0,0,2338.38,0,9454.21,0,13011.6,85.4341,0,18276,50,
188,2787.09,2787.09,0,0,0,0,0,0,0,0,0,2338.38,0,9454.21,0,13011.6,85.4341,5025.9,23050.6,63.0625,
189,2430.71,2430.71,0,0,0,0,0,0,0,0,0,2338.38,0,9454.21,0,13011.6,85.4341,5025.9,27825.2,76.125,
190,1972.28,1972.28,0,0,0,0,0,0,0,0,0,2338.38,0,9454.21,0,13011.6,85.4341,5025.9,32599.8,89.1875,
191,1513.86,1513.86,0,0,0,0,0,0,0,0,0,2338.38,0,9454.21,0,13011.6,85.4341,4160.19,36552,100,
192,1034.12,1034.12,0,0,0,0,0,0,0,0,0,2338.38,0,9454.21,0,13011.6,85.4341,0,36552,100,
