Time step,Load requested [kW],Load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
128,1.106,1.106,58,0.393526,57.6065,0.0753881,58,0.29,0,0,-0.29,1.69308,0.29,5.92387,0,8.65422,86.5422,0,0,0,
129,0.892,0.892,283,10.9502,272.05,0.279031,283,1.415,0.0119222,0.0113261,-1.40308,1.40308,1.40308,6.19067,0,10,100,0,0,0,
130,0.886,0.886,371,22.2724,348.728,0.311757,371,1.855,1.855,1.76225,0,0,0,7.4815,0,10,100,0,0,0,
131,0.862,0.862,503,74.3033,428.697,0.391502,503,2.515,2.515,2.38925,0,0,0,7.4815,0,10,100,0,0,0,
132,0.831,0.831,491,64.8028,426.197,0.380014,491,2.455,2.455,2.33225,0,0,0,7.4815,0,10,100,0,0,0,
133,0.823,0.823,490,81.7147,408.285,0.404518,490,2.45,2.45,2.3275,0,0,0,7.4815,0,10,100,0,0,0,
134,0.809,0.809,401,54.3135,346.686,0.382607,401,2.005,2.005,1.90475,0,0,0,7.4815,0,10,100,0,0,0,
135,0.848,0.848,305,38.2394,266.761,0.374955,305,1.525,1.525,1.44875,0,0,0,7.4815,0,10,100,0,0,0,
136,0.984,0.984,181,16.5228,164.477,0.345834,181,0.905,1.03579,0.984,0.130789,0,0,7.4815,0.130789,9.86364,98.6364,0,0,0,
137,1.308,1.308,2,0.00182142,1.99818,0.010119,2,0.01,1.37684,1.308,1.36684,0.142162,0,7.35071,1.36684,8.43861,84.3861,0,0,0,
138,1.695,1.695,0,0,0,0,0,0,0,0,0,1.62786,0,5.98387,0,8.43861,84.3861,0,0,0,
139,1.902,1.902,0,0,0,0,0,0,0,0,0,1.62786,0,5.98387,0,8.43861,84.3861,0,11.5,50,
140,1.866,1.866,0,0,0,0,0,0,0,0,0,1.62786,0,5.98387,0,8.43861,84.3861,3.3,14.635,63.6304,
141,1.631,1.631,0,0,0,0,0,0,0,0,0,1.62786,0,5.98387,0,8.43861,84.3861,3.3,17.77,77.2609,
142,1.324,1.324,0,0,0,0,0,0,0,0,0,1.62786,0,5.98387,0,8.43861,84.3861,3.3,20.905,90.8913,
143,1.012,1.012,0,0,0,0,0,0,0,0,0,1.62786,0,5.98387,0,8.43861,84.3861,2.20526,23,100,
144,0.697,0.697,0,0,0,0,0,0,0,0,0,1.62786,0,5.98387,0,8.43861,84.3861,0,23,100,
145,0.596,0.596,0,0,0,0,0,0,0,0,0,1.62786,0,5.98387,0,8.43861,84.3861,0,23,100,
146,0.561,0.561,0,0,0,0,0,0,0,0,0,1.62786,0,5.98387,0,8.43861,84.3861,0,23,100,
147,0.557,0.557,0,0,0,0,0,0,0,0,0,1.62786,0,5.98387,0,8.43861,84.3861,0,23,100,
148,0.555,0.555,0,0,0,0,0,0,0,0,0,1.62786,0,5.98387,0,8.43861,84.3861,0,0,0,
149,0.612,0.612,0,0,0,0,0,0,0,0,0,1.62786,0,5.98387,0,8.43861,84.3861,0,0,0,
150,0.836,0.836,0,0,0,0,0,0,0,0,0,1.62786,0,5.98387,0,8.43861,84.3861,0,0,0,
151,1.149,1.149,0,0,0,0,0,0,0,0,0,1.62786,0,5.98387,0,8.43861,84.3861,0,0,0,
152,1.055,1.055,101,1.19546,99.8045,0.131514,101,0.505,0,0,-0.505,1.62786,0.505,5.98387,0,8.92299,89.2299,0,0,0,
153,0.837,0.837,221,4.33727,216.663,0.218063,221,1.105,0,0,-1.105,1.12286,1.105,6.44847,0,9.98287,99.8287,0,0,0,
154,0.826,0.826,347,15.9309,331.069,0.291609,347,1.735,1.71714,1.63128,-0.0178604,0.0178604,0.0178604,7.46507,0,10,100,0,0,0,
155,0.811,0.811,365,15.1027,349.897,0.28396,365,1.825,1.825,1.73375,0,0,0,7.4815,0,10,100,0,0,0,
156,0.783,0.783,535,96.7885,438.211,0.413674,535,2.675,2.675,2.54125,0,0,0,7.4815,0,10,100,0,0,0,
157,0.779,0.779,419,38.0553,380.945,0.345395,419,2.095,2.095,1.99025,0,0,0,7.4815,0,10,100,0,0,0,
158,0.772,0.772,331,20.7635,310.236,0.315152,331,1.655,1.655,1.57225,0,0,0,7.4815,0,10,100,0,0,0,
159,0.808,0.808,327,52.6982,274.302,0.400774,327,1.635,1.635,1.55325,0,0,0,7.4815,0,10,100,0,0,0,
160,0.948,0.948,176,14.0749,161.925,0.33462,176,0.88,0.997895,0.948,0.117895,0,0,7.4815,0.117895,9.87709,98.7709,0,0,0,
161,1.272,1.272,3,0.00404648,2.99595,0.014987,3,0.015,1.33895,1.272,1.32395,0.128146,0,7.3636,1.32395,8.49678,84.9678,0,0,0,
162,1.66,1.66,0,0,0,0,0,0,0,0,0,1.56722,0,6.03966,0,8.49678,84.9678,0,0,0,
163,1.867,1.867,0,0,0,0,0,0,0,0,0,1.56722,0,6.03966,0,8.49678,84.9678,0,11.5,50,
164,1.83,1.83,0,0,0,0,0,0,0,0,0,1.56722,0,6.03966,0,8.49678,84.9678,3.3,14.635,63.6304,
165,1.596,1.596,0,0,0,0,0,0,0,0,0,1.56722,0,6.03966,0,8.49678,84.9678,3.3,17.77,77.2609,
166,1.295,1.295,0,0,0,0,0,0,0,0,0,1.56722,0,6.03966,0,8.49678,84.9678,3.3,20.905,90.8913,
167,0.994,0.994,0,0,0,0,0,0,0,0,0,1.56722,0,6.03966,0,8.49678,84.9678,2.20526,23,100,
168,0.679,0.679,0,0,0,0,0,0,0,0,0,1.56722,0,6.03966,0,8.49678,84.9678,0,23,100,
169,0.566,0.566,0,0,0,0,0,0,0,0,0,1.56722,0,6.03966,0,8.49678,84.9678,0,23,100,
170,0.526,0.526,0,0,0,0,0,0,0,0,0,1.56722,0,6.03966,0,8.49678,84.9678,0,23,100,
171,0.525,0.525,0,0,0,0,0,0,0,0,0,1.56722,0,6.03966,0,8.49678,84.9678,0,23,100,
172,0.522,0.522,0,0,0,0,0,0,0,0,0,1.56722,0,6.03966,0,8.49678,84.9678,0,0,0,
173,0.582,0.582,0,0,0,0,0,0,0,0,0,1.56722,0,6.03966,0,8.49678,84.9678,0,0,0,
174,0.808,0.808,0,0,0,0,0,0,0,0,0,1.56722,0,6.03966,0,8.49678,84.9678,0,0,0,
175,1.123,1.123,0,0,0,0,0,0,0,0,0,1.56722,0,6.03966,0,8.49678,84.9678,0,0,0,
176,1.022,1.022,113,1.499,111.501,0.147394,113,0.565,0,0,-0.565,1.56722,0.565,6.03966,0,9.0387,90.387,0,0,0,
177,0.803,0.803,279,10.2881,268.712,0.275483,279,1.395,0.39278,0.373141,-1.00222,1.00222,1.00222,6.55946,0,10,100,0,0,0,
178,0.8,0.8,404,34.2551,369.745,0.33952,404,2.02,2.02,1.919,0,0,0,7.4815,0,10,100,0,0,0,
179,0.809,0.809,503,74.0358,428.964,0.391126,503,2.515,2.515,2.38925,0,0,0,7.4815,0,10,100,0,0,0,
180,0.783,0.783,540,100.663,439.337,0.41713,540,2.7,2.7,2.565,0,0,0,7.4815,0,10,100,0,0,0,
181,0.779,0.779,500,88.79,411.21,0.411552,500,2.5,2.5,2.375,0,0,0,7.4815,0,10,100,0,0,0,
182,0.772,0.772,452,93.4249,358.575,0.429448,452,2.26,2.26,2.147,0,0,0,7.4815,0,10,100,0,0,0,
