Time step,Net load,Load,Solar PV,Inverter AC,Battery,Electric vehicle,
451,1.902,1.902,0,0,0,0,
452,5.166,1.866,0,0,0,3.3,
453,4.934,1.634,0,0,0,3.3,
454,4.641,1.341,0,0,0,3.3,
455,3.24926,1.044,0,0,0,2.20526,
456,0.739,0.739,0,0,0,0,
457,0.634,0.634,0,0,0,0,
458,0.602,0.602,0,0,0,0,
459,0.594,0.594,0,0,0,0,
460,0.592,0.592,0,0,0,0,
461,0.655,0.655,0,0,0,0,
462,0.893,0.893,0,0,0,0,
463,1.208,1.208,0,0,0,0,
464,1.118,1.118,0.575,0,-0.575,0,
465,0.45412,0.901,1.42,0.44688,-0.9496,0,
466,-1.139,0.894,2.14,2.033,0,0,
467,-1.63125,0.872,2.635,2.50325,0,0,
468,-1.88125,0.831,2.855,2.71225,0,0,
469,-1.8085,0.823,2.77,2.6315,0,0,
470,-1.4805,0.809,2.41,2.2895,0,0,
471,-0.87625,0.848,1.815,1.72425,0,0,
472,-0.004,0.984,1.04,0.988,0,0,
473,0,1.308,0.08,1.308,1.29684,0,
474,1.695,1.695,0,0,0,0,
475,1.902,1.902,0,0,0,0,
476,5.166,1.866,0,0,0,3.3,
477,4.931,1.631,0,0,0,3.3,
478,4.636,1.336,0,0,0,3.3,
479,3.24126,1.036,0,0,0,2.20526,
480,0.725,0.725,0,0,0,0,
481,0.628,0.628,0,0,0,0,
482,0.592,0.592,0,0,0,0,
483,0.587,0.587,0,0,0,0,
484,0.586,0.586,0,0,0,0,
485,0.642,0.642,0,0,0,0,
486,0.871,0.871,0,0,0,0,
487,1.179,1.179,0,0,0,0,
488,1.081,1.081,0.595,0,-0.595,0,
489,0.26013,0.859,1.445,0.59887,-0.814611,0,
490,-1.23175,0.844,2.185,2.07575,0,0,
491,-1.73375,0.817,2.685,2.55075,0,0,
492,-1.896,0.783,2.82,2.679,0,0,
493,-1.87625,0.779,2.795,2.65525,0,0,
494,-1.54125,0.772,2.435,2.31325,0,0,
495,-0.94,0.808,1.84,1.748,0,0,
496,-0.078,0.948,1.08,1.026,0,0,
497,0,1.272,0.095,1.272,1.24395,0,
498,1.66,1.66,0,0,0,0,
499,1.867,1.867,0,0,0,0,
500,5.13,1.83,0,0,0,3.3,
501,4.896,1.596,0,0,0,3.3,
502,4.595,1.295,0,0,0,3.3,
503,3.20926,1.004,0,0,0,2.20526,
504,0.71,0.71,0,0,0,0,
505,0.607,0.607,0,0,0,0,
506,0.578,0.578,0,0,0,0,
507,0.571,0.571,0,0,0,0,
508,0.565,0.565,0,0,0,0,
509,0.628,0.628,0,0,0,0,
510,0.857,0.857,0,0,0,0,
511,1.166,1.166,0,0,0,0,
512,1.071,1.071,0.58,0,-0.58,0,
513,0.186761,0.845,1.465,0.658239,-0.772117,0,
514,-1.2725,0.827,2.21,2.0995,0,0,
515,-1.794,0.809,2.74,2.603,0,0,
516,-2.0005,0.783,2.93,2.7835,0,0,
517,-1.9,0.779,2.82,2.679,0,0,
518,-1.4795,0.772,2.37,2.2515,0,0,
519,-0.9685,0.808,1.87,1.7765,0,0,
520,-0.06375,0.948,1.065,1.01175,0,0,
521,0,1.272,0.1,1.272,1.23895,0,
522,1.66,1.66,0,0,0,0,
523,1.867,1.867,0,0,0,0,
524,5.13,1.83,0,0,0,3.3,
525,4.896,1.596,0,0,0,3.3,
526,4.595,1.295,0,0,0,3.3,
527,3.19926,0.994,0,0,0,2.20526,
528,0.683,0.683,0,0,0,0,
529,0.579,0.579,0,0,0,0,
530,0.544,0.544,0,0,0,0,
531,0.539,0.539,0,0,0,0,
532,0.531,0.531,0,0,0,0,
533,0.588,0.588,0,0,0,0,
534,0.806,0.806,0,0,0,0,
535,1.124,1.124,0,0,0,0,
536,1.044,1.044,0.36,0,-0.36,0,
537,0.657098,0.836,1.175,0.178902,-0.986682,0,
538,-0.56025,0.841,1.475,1.40125,0,0,
539,-0.6755,0.835,1.59,1.5105,0,0,
540,-0.6745,0.798,1.55,1.4725,0,0,
541,-1.9285,0.779,2.85,2.7075,0,0,
542,-1.565,0.772,2.46,2.337,0,0,
543,-0.89725,0.808,1.795,1.70525,0,0,
544,-0.10175,0.948,1.105,1.04975,0,0,
545,0,1.272,0.11,1.272,1.22895,0,
546,1.66,1.66,0,0,0,0,
547,1.867,1.867,0,0,0,0,
548,5.132,1.832,0,0,0,3.3,
549,4.905,1.605,0,0,0,3.3,
550,4.618,1.318,0,0,0,3.3,
551,3.23226,1.027,0,0,0,2.20526,
552,0.728,0.728,0,0,0,0,
553,0.625,0.625,0,0,0,0,
554,0.596,0.596,0,0,0,0,
555,0.588,0.588,0,0,0,0,
556,0.578,0.578,0,0,0,0,
557,0.639,0.639,0,0,0,0,
558,0.871,0.871,0,0,0,0,
559,1.173,1.173,0,0,0,0,
560,1.071,1.071,0.605,0,-0.605,0,
561,0.146772,0.849,1.47,0.702228,-0.730812,0,
562,-1.194,0.839,2.14,2.033,0,0,
563,-1.76125,0.818,2.715,2.57925,0,0,
564,-1.97675,0.783,2.905,2.75975,0,0,
