Time step,Total load requested [kW],Total load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
130,0.886,0.886,371,22.2724,348.728,0.311757,90,1.855,0.000779392,1.73783,-0.0257018,0.0257018,8.43185,0.000779392,0.000797444,-0.000779392,200.158,0.200158,0,0,
131,0.862,0.862,503,74.3033,428.697,0.391502,90,2.515,0.000978756,2.38925,0,0,8.43107,0.000978756,0.0014989,-0.000978756,200.251,0.200251,0,0,
132,0.831,0.831,491,64.8028,426.197,0.380014,2.27341,2.455,0.000950035,2.33225,0,0,8.4301,0.000950035,0.00237978,-0.000950035,200.341,0.200341,0,0,
133,0.823,0.823,490,81.7147,408.285,0.404518,1.35221,2.45,0.00124881,0.00448361,0.00323481,0.00425943,8.42915,7.58947,0.00323481,0.00323481,200,0.2,0,0,
134,0.809,0.809,401,54.3135,346.686,0.382607,1.29007,2.005,0,0,0,0,8.43274,0,0,0,200,0.2,0,0,
135,0.848,0.848,305,38.2394,266.761,0.374955,2.22372,1.525,0,0,0,0,8.43274,0,0,0,200,0.2,0,0,
136,0.984,0.984,181,16.5228,164.477,0.345834,1.68877,0.905,0,0.984,0,0,8.43274,0,0,0,200,0.2,0,0,
137,1.308,1.308,2,0.00182142,1.99818,0.010119,1.71776,0.01,0,1.308,0,0.145322,8.43274,0,0,0,200,0.2,0,0,
138,1.695,1.695,0,0,0,0,1.6799,0,0,0,0,1.66404,8.43274,0,0,0,200,0.2,0,0,
139,1.902,1.902,0,0,0,0,1.94162,0,0,0,0,1.66404,8.43274,0,0,0,200,0.2,12,50,
140,1.866,1.866,0,0,0,0,2.20334,0,0,0,0,1.66404,8.43274,0,0,0,200,0.2,15.135,63.0625,
141,1.631,1.631,0,0,0,0,2.46506,0,0,0,0,1.66404,8.43274,0,0,0,200,0.2,18.27,76.125,
142,1.324,1.324,0,0,0,0,2.72678,0,0,0,0,1.66404,8.43274,0,0,0,200,0.2,21.405,89.1875,
143,1.012,1.012,0,0,0,0,2.98851,0,0,0,0,1.66404,8.43274,0,0,0,200,0.2,24,100,
144,0.697,0.697,0,0,0,0,90,0,0,0,0,1.66404,8.43274,0,0,0,200,0.2,24,100,
145,0.596,0.596,0,0,0,0,90,0,0,0,0,1.66404,8.43274,0,0,0,200,0.2,24,100,
146,0.561,0.561,0,0,0,0,90,0,0,0,0,1.66404,8.43274,0,0,0,200,0.2,24,100,
147,0.557,0.557,0,0,0,0,90,0,0,0,0,1.66404,8.43274,0,0,0,200,0.2,24,100,
148,0.555,0.555,0,0,0,0,90,0,0,0,0,1.66404,8.43274,0,0,0,200,0.2,0,0,
149,0.612,0.612,0,0,0,0,90,0,0,0,0,1.66404,8.43274,0,0,0,200,0.2,0,0,
150,0.836,0.836,0,0,0,0,90,0,0,0,0,1.66404,8.43274,0,0,0,200,0.2,0,0,
151,1.149,1.149,0,0,0,0,90,0,0,0,0,1.66404,8.43274,0,0,0,200,0.2,0,0,
152,1.055,1.055,101,1.19546,99.8045,0.131514,90,0.505,0,0,0,1.66404,8.43274,0,0,0,200,0.2,0,0,
153,0.837,0.837,221,4.33727,216.663,0.218063,90,1.105,0,0,0,1.15904,8.43274,0,0,0,200,0.2,0,0,
154,0.826,0.826,347,15.9309,331.069,0.291609,90,1.735,0,1.59692,0,0.0540351,8.43274,0,0,0,200,0.2,0,0,
155,0.811,0.811,365,15.1027,349.897,0.28396,90,1.825,0,1.73375,0,0,8.43274,0,0,0,200,0.2,0,0,
