Time step,Net load,Load,Solar PV,Inverter AC,Battery,Electric vehicle,
408,0.713,0.713,0,0,0,0,
409,0.613,0.613,0,0,0,0,
410,0.58,0.58,0,0,0,0,
411,0.582,0.582,0,0,0,0,
412,0.577,0.577,0,0,0,0,
413,0.631,0.631,0,0,0,0,
414,0.864,0.864,0,0,0,0,
415,1.172,1.172,0,0,0,0,
416,1.075,1.075,0,0,0,0,
417,0.867,0.867,0,0,0,0,
418,0.845,0.845,0,0,0,0,
419,0.816,0.816,0,0,0,0,
420,0.783,0.783,0,0,0,0,
421,0.134455,0.779,2.07954,0.644545,-1.40108,0,
422,-1.90268,0.772,2.81545,2.67468,0,0,
423,-1.18152,0.808,2.09423,1.98952,0,0,
424,-0.203644,0.948,1.21226,1.15164,0,0,
425,0,1.272,0.0839753,1.272,1.25497,0,
426,1.66,1.66,0,0,0,0,
427,1.867,1.867,0,0,0,0,
428,5.13,1.83,0,0,0,3.3,
429,4.896,1.596,0,0,0,3.3,
430,4.606,1.306,0,0,0,3.3,
431,3.75258,1.021,0,0,0,2.73158,
432,0.733,0.733,0,0,0,0,
433,0.63,0.63,0,0,0,0,
434,0.593,0.593,0,0,0,0,
435,0.586,0.586,0,0,0,0,
436,0.583,0.583,0,0,0,0,
437,0.642,0.642,0,0,0,0,
438,0.878,0.878,0,0,0,0,
439,1.191,1.191,0,0,0,0,
440,1.1,1.1,0,0,0,0,
441,0.897,0.897,0,0,0,0,
442,0.905,0.905,0,0,0,0,
443,0.89,0.89,0,0,0,0,
444,0.831,0.831,0,0,0,0,
445,0.153623,0.823,2.09902,0.669377,-1.39441,0,
446,-1.84674,0.809,2.79552,2.65574,0,0,
447,-0.279356,0.848,1.18669,1.12736,0,0,
448,-0.0834645,0.984,1.12365,1.06746,0,0,
449,0,1.308,0.0839744,1.308,1.29287,0,
450,1.695,1.695,0,0,0,0,
451,1.902,1.902,0,0,0,0,
452,5.166,1.866,0,0,0,3.3,
453,4.934,1.634,0,0,0,3.3,
454,4.641,1.341,0,0,0,3.3,
455,3.77558,1.044,0,0,0,2.73158,
456,0.739,0.739,0,0,0,0,
457,0.634,0.634,0,0,0,0,
458,0.602,0.602,0,0,0,0,
459,0.594,0.594,0,0,0,0,
460,0.592,0.592,0,0,0,0,
461,0.655,0.655,0,0,0,0,
462,0.893,0.893,0,0,0,0,
463,1.208,1.208,0,0,0,0,
464,1.118,1.118,0,0,0,0,
465,0.901,0.901,0,0,0,0,
466,0.894,0.894,0,0,0,0,
467,0.872,0.872,0,0,0,0,
468,0.831,0.831,0,0,0,0,
469,0.172871,0.823,2.12087,0.650129,-1.43652,0,
470,-1.82725,0.809,2.775,2.63625,0,0,
471,-1.33738,0.848,2.3004,2.18538,0,0,
472,-0.194679,0.984,1.24072,1.17868,0,0,
473,0,1.308,0.0959654,1.308,1.28088,0,
474,1.695,1.695,0,0,0,0,
475,1.902,1.902,0,0,0,0,
476,5.166,1.866,0,0,0,3.3,
477,4.931,1.631,0,0,0,3.3,
478,4.636,1.336,0,0,0,3.3,
479,3.76758,1.036,0,0,0,2.73158,
480,0.725,0.725,0,0,0,0,
481,0.628,0.628,0,0,0,0,
482,0.592,0.592,0,0,0,0,
483,0.587,0.587,0,0,0,0,
484,0.586,0.586,0,0,0,0,
485,0.642,0.642,0,0,0,0,
486,0.871,0.871,0,0,0,0,
487,1.179,1.179,0,0,0,0,
488,1.081,1.081,0,0,0,0,
489,0.859,0.859,0,0,0,0,
490,0.844,0.844,0,0,0,0,
491,0.817,0.817,0,0,0,0,
492,0.783,0.783,0,0,0,0,
493,0.0931723,0.779,2.14512,0.685828,-1.4232,0,
494,-1.8442,0.772,2.75389,2.6162,0,0,
495,-1.39031,0.808,2.31401,2.19831,0,0,
496,-0.274391,0.948,1.28673,1.22239,0,0,
497,0,1.272,0.113949,1.272,1.225,0,
498,1.66,1.66,0,0,0,0,
499,1.867,1.867,0,0,0,0,
500,5.13,1.83,0,0,0,3.3,
501,4.896,1.596,0,0,0,3.3,
502,4.595,1.295,0,0,0,3.3,
503,3.73558,1.004,0,0,0,2.73158,
504,0.71,0.71,0,0,0,0,
505,0.607,0.607,0,0,0,0,
506,0.578,0.578,0,0,0,0,
507,0.571,0.571,0,0,0,0,
508,0.565,0.565,0,0,0,0,
509,0.628,0.628,0,0,0,0,
510,0.857,0.857,0,0,0,0,
511,1.166,1.166,0,0,0,0,
512,1.071,1.071,0,0,0,0,
513,0.845,0.845,0,0,0,0,
514,0.827,0.827,0,0,0,0,
515,0.809,0.809,0,0,0,0,
516,0.783,0.783,0,0,0,0,
517,0.00882611,0.779,2.17182,0.770174,-1.36111,0,
518,-1.82359,0.772,2.7322,2.59559,0,0,
519,-1.40774,0.808,2.33236,2.21574,0,0,
520,-0.257456,0.948,1.2689,1.20546,0,0,
521,0,1.272,0.119942,1.272,1.21901,0,
522,1.66,1.66,0,0,0,0,
523,1.867,1.867,0,0,0,0,
524,5.13,1.83,0,0,0,3.3,
525,4.896,1.596,0,0,0,3.3,
526,4.595,1.295,0,0,0,3.3,
527,3.72558,0.994,0,0,0,2.73158,
528,0.683,0.683,0,0,0,0,
529,0.579,0.579,0,0,0,0,
530,0.544,0.544,0,0,0,0,
531,0.539,0.539,0,0,0,0,
532,0.531,0.531,0,0,0,0,
533,0.588,0.588,0,0,0,0,
534,0.806,0.806,0,0,0,0,
535,1.124,1.124,0,0,0,0,
536,1.044,1.044,0,0,0,0,
537,0.836,0.836,0,0,0,0,
538,0.841,0.841,0,0,0,0,
539,0.835,0.835,0,0,0,0,
540,0.798,0.798,0,0,0,0,
541,-0.0252211,0.779,2.201,0.804221,-1.35445,0,
542,-1.80244,0.772,2.70994,2.57444,0,0,
543,-1.29405,0.808,2.21268,2.10205,0,0,
544,-0.300792,0.948,1.31452,1.24879,0,0,
545,0,1.272,0.131927,1.272,1.20702,0,
546,1.66,1.66,0,0,0,0,
547,1.867,1.867,0,0,0,0,
548,5.132,1.832,0,0,0,3.3,
549,4.905,1.605,0,0,0,3.3,
550,4.618,1.318,0,0,0,3.3,
551,3.75858,1.027,0,0,0,2.73158,
552,0.728,0.728,0,0,0,0,
553,0.625,0.625,0,0,0,0,
554,0.596,0.596,0,0,0,0,
555,0.588,0.588,0,0,0,0,
556,0.578,0.578,0,0,0,0,
557,0.639,0.639,0,0,0,0,
558,0.871,0.871,0,0,0,0,
559,1.173,1.173,0,0,0,0,
560,1.071,1.071,0,0,0,0,
561,0.849,0.849,0,0,0,0,
562,0.839,0.839,0,0,0,0,
563,0.818,0.818,0,0,0,0,
564,0.783,0.783,0,0,0,0,
565,-0.0679969,0.779,2.23271,0.846997,-1.34113,0,
566,-1.78075,0.772,2.68711,2.55275,0,0,
567,-1.3106,0.808,2.2301,2.1186,0,0,
568,-0.343619,0.948,1.3596,1.29162,0,0,
569,0,1.272,0.14391,1.272,1.19504,0,
570,1.66,1.66,0,0,0,0,
571,1.867,1.867,0,0,0,0,
572,5.13,1.83,0,0,0,3.3,
573,4.896,1.596,0,0,0,3.3,
574,4.604,1.304,0,0,0,3.3,
575,3.74158,1.01,0,0,0,2.73158,
576,0.711,0.711,0,0,0,0,
577,0.616,0.616,0,0,0,0,
578,0.576,0.576,0,0,0,0,
579,0.568,0.568,0,0,0,0,
580,0.563,0.563,0,0,0,0,
581,0.627,0.627,0,0,0,0,
582,0.843,0.843,0,0,0,0,
583,1.149,1.149,0,0,0,0,
584,1.049,1.049,0,0,0,0,
585,0.826,0.826,0,0,0,0,
586,0.809,0.809,0,0,0,0,
587,0.809,0.809,0,0,0,0,
588,0.783,0.783,0,0,0,0,
589,-0.113214,0.779,2.26699,0.892214,-1.32782,0,
590,-1.75853,0.772,2.66371,2.53053,0,0,
591,-1.23755,0.808,2.15321,2.04555,0,0,
