Time step,Load requested [kW],Load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
160,0.948,0.948,176,4.14374,171.856,0.239268,175.82,1.05492,1.05492,1.00218,0,0,0,7.58947,0,10,100,0,0,0,
161,1.272,1.272,3,0.000972288,2.99903,0.00360107,2.99988,0.0179993,1.33895,1.272,1.32095,0,0,7.58947,1.32095,8.6076,86.076,0,0,0,
162,1.66,1.66,0,0,0,0,0,0,0,0,0,1.46772,0,6.26852,0,8.6076,86.076,0,0,0,
163,1.867,1.867,0,0,0,0,0,0,0,0,0,1.46772,0,6.26852,0,8.6076,86.076,0,12,50,
164,1.83,1.83,0,0,0,0,0,0,0,0,0,1.46772,0,6.26852,0,8.6076,86.076,3.3,15.135,63.0625,
165,1.596,1.596,0,0,0,0,0,0,0,0,0,1.46772,0,6.26852,0,8.6076,86.076,3.3,18.27,76.125,
166,1.295,1.295,0,0,0,0,0,0,0,0,0,1.46772,0,6.26852,0,8.6076,86.076,3.3,21.405,89.1875,
167,0.994,0.994,0,0,0,0,0,0,0,0,0,1.46772,0,6.26852,0,8.6076,86.076,2.73158,24,100,
168,0.679,0.679,0,0,0,0,0,0,0,0,0,1.46772,0,6.26852,0,8.6076,86.076,0,24,100,
169,0.566,0.566,0,0,0,0,0,0,0,0,0,1.46772,0,6.26852,0,8.6076,86.076,0,24,100,
170,0.526,0.526,0,0,0,0,0,0,0,0,0,1.46772,0,6.26852,0,8.6076,86.076,0,24,100,
171,0.525,0.525,0,0,0,0,0,0,0,0,0,1.46772,0,6.26852,0,8.6076,86.076,0,24,100,
172,0.522,0.522,0,0,0,0,0,0,0,0,0,1.46772,0,6.26852,0,8.6076,86.076,0,0,0,
173,0.582,0.582,0,0,0,0,0,0,0,0,0,1.46772,0,6.26852,0,8.6076,86.076,0,0,0,
174,0.808,0.808,0,0,0,0,0,0,0,0,0,1.46772,0,6.26852,0,8.6076,86.076,0,0,0,
175,1.123,1.123,0,0,0,0,0,0,0,0,0,1.46772,0,6.26852,0,8.6076,86.076,0,0,0,
176,1.022,1.022,113,0,0,0.8,0,0,0,0,0,1.46772,0,6.26852,0,8.6076,86.076,0,0,0,
177,0.803,0.803,279,0,0,0.8,0,0,0,0,0,1.46772,0,6.26852,0,8.6076,86.076,0,0,0,
178,0.8,0.8,404,0,0,0.8,0,0,0,0,0,1.46772,0,6.26852,0,8.6076,86.076,0,0,0,
179,0.809,0.809,503,0,0,0.8,0,0,0,0,0,1.46772,0,6.26852,0,8.6076,86.076,0,0,0,
180,0.783,0.783,540,0,0,0.8,0,0,0,0,0,1.46772,0,6.26852,0,8.6076,86.076,0,0,0,
181,0.779,0.779,500,58.4677,11.5761,0.8,334.836,2.00902,0.541296,0.514231,-1.46772,1.46772,1.46772,6.26852,0,10,100,0,0,0,
182,0.772,0.772,452,231.466,45.8284,0.8,496.887,2.98132,2.98132,2.83226,0,0,0,7.58947,0,10,100,0,0,0,
183,0.808,0.808,326,162.161,163.839,0.571657,365.164,2.19099,2.19099,2.08144,0,0,0,7.58947,0,10,100,0,0,0,
