Time step,Load requested [kW],Load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
400,0.948,0.948,206,61.9482,144.052,0.480321,116.035,0.23207,0.997895,0.948,0.765825,0.688896,0,1.27736,0.765825,8.53921,85.3921,0,0,0,
401,1.272,1.272,13,0.0893715,12.9106,0.0763859,11.7363,0.0234727,0.535008,0.508258,0.511535,1.53981,0,0.511535,0.511535,8,80,0,0,0,
402,1.66,1.66,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
403,1.867,1.867,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,12,50,
404,1.83,1.83,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,13.5,56.25,
405,1.596,1.596,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,15,62.5,
406,1.297,1.297,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,16.5,68.75,
407,1.007,1.007,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,18,75,
408,0.713,0.713,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,19.5,81.25,
409,0.613,0.613,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,21,87.5,
410,0.58,0.58,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,22.5,93.75,
411,0.582,0.582,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,24,100,
412,0.577,0.577,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
413,0.631,0.631,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
414,0.864,0.864,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
415,1.172,1.172,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
416,1.075,1.075,88,21.136,66.864,0.448563,121.529,0.243058,0,0,-0.243058,2.10819,0.243058,0,0,8.23059,82.3059,0,0,0,
417,0.867,0.867,221,70.3688,150.631,0.489104,174.835,0.34967,0,0,-0.34967,1.86513,0.34967,0.218753,0,8.56231,85.6231,0,0,0,
418,0.845,0.845,432,292.048,139.952,0.654879,98.5102,0.19702,0,0,-0.19702,1.51546,0.19702,0.533456,0,8.74922,87.4922,0,0,0,
419,0.816,0.816,533,367.386,165.614,0.661717,94.6509,0.189302,0,0,-0.189302,1.31844,0.189302,0.710774,0,8.92881,89.2881,0,0,0,
420,0.783,0.783,576,389.555,186.445,0.65502,108.195,0.21639,0,0,-0.21639,1.12913,0.21639,0.881146,0,9.13409,91.3409,0,0,0,
421,0.779,0.779,514,272.8,241.2,0.586571,162.98,0.325959,0,0,-0.325959,0.912744,0.325959,1.0759,0,9.44333,94.4333,0,0,0,
422,0.772,0.772,464,242.148,221.852,0.582594,151.135,0.302269,0,0,-0.302269,0.586785,0.302269,1.36926,0,9.73008,97.3008,0,0,0,
423,0.808,0.808,329,118.959,210.041,0.509859,162.615,0.325231,0.850526,0.808,0.525296,0.284516,0,1.6413,0.525296,9.17637,91.7637,0,0,0,
424,0.948,0.948,203,56.4244,146.576,0.468721,119.691,0.239382,0.997895,0.948,0.758513,0.868178,0,1.11601,0.758513,8.37683,83.7683,0,0,0,
425,1.272,1.272,14,0.10118,13.8988,0.0803017,12.6351,0.0252702,0.382764,0.363626,0.357494,1.71097,0,0.357494,0.357494,8,80,0,0,0,
426,1.66,1.66,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
427,1.867,1.867,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,12,50,
428,1.83,1.83,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,13.5,56.25,
429,1.596,1.596,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,15,62.5,
430,1.306,1.306,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,16.5,68.75,
431,1.021,1.021,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,18,75,
432,0.733,0.733,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,19.5,81.25,
433,0.63,0.63,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,21,87.5,
434,0.593,0.593,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,22.5,93.75,
435,0.586,0.586,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,24,100,
436,0.583,0.583,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
437,0.642,0.642,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
438,0.878,0.878,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
439,1.191,1.191,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
440,1.1,1.1,114,58.2305,55.7695,0.577635,212.37,0.42474,0,0,-0.42474,2.10819,0.42474,0,0,8.40294,84.0294,0,0,0,
441,0.897,0.897,272,152.315,119.685,0.599755,192.71,0.385421,0,0,-0.385421,1.68344,0.385421,0.382266,0,8.76859,87.6859,0,0,0,
442,0.905,0.905,257,36.8081,220.192,0.388293,195.137,0.390274,0,0,-0.390274,1.29802,0.390274,0.729145,0,9.13883,91.3883,0,0,0,
443,0.89,0.89,333,59.3761,273.624,0.412016,235.438,0.470877,0,0,-0.470877,0.90775,0.470877,1.08039,0,9.58555,95.8555,0,0,0,
444,0.831,0.831,554,343.746,210.254,0.627691,129.884,0.259768,0,0,-0.259768,0.436873,0.259768,1.50418,0,9.83198,98.3198,0,0,0,
445,0.823,0.823,340,47.8004,292.2,0.386389,255.618,0.511235,0.334129,0.317423,-0.177106,0.177106,0.177106,1.73797,0,10,100,0,0,0,
446,0.809,0.809,445,205.737,239.263,0.555953,171.651,0.343302,0.343302,0.326137,0,0,0,1.89737,0,10,100,0,0,0,
447,0.848,0.848,196,10.3181,185.682,0.301783,167.423,0.334846,0.892632,0.848,0.557785,0,0,1.89737,0.557785,9.41204,94.1204,0,0,0,
448,0.984,0.984,188,38.9868,149.013,0.429853,126.435,0.252869,1.03579,0.984,0.78292,0.619761,0,1.33958,0.78292,8.58677,85.8677,0,0,0,
449,1.308,1.308,14,0.0988029,13.9012,0.078415,12.637,0.0252741,0.581935,0.552838,0.556661,1.48967,0,0.556661,0.556661,8,80,0,0,0,
450,1.695,1.695,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
451,1.902,1.902,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,12,50,
452,1.866,1.866,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,13.5,56.25,
453,1.634,1.634,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,15,62.5,
454,1.341,1.341,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,16.5,68.75,
455,1.044,1.044,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,18,75,
456,0.739,0.739,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,19.5,81.25,
