Time step,Total load requested [kW],Total load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
190,1.295,1.295,0,0,0,0,0,0,0,0,0,1.42527,0,6.99273,0,9.64037,87.6398,3.3,22.254,89.016,
191,0.994,0.994,0,0,0,0,0,0,0,0,0,1.42527,0,6.99273,0,9.64037,87.6398,2.86042,25,100,
192,0.679,0.679,0,0,0,0,0,0,0,0,0,1.42527,0,6.99273,0,9.64037,87.6398,0,25,100,
193,0.566,0.566,0,0,0,0,0,0,0,0,0,1.42527,0,6.99273,0,9.64037,87.6398,0,25,100,
194,0.519,0.519,0,0,0,0,0,0,0,0,0,1.42527,0,6.99273,0,9.64037,87.6398,0,25,100,
195,0.504,0.504,0,0,0,0,0,0,0,0,0,1.42527,0,6.99273,0,9.64037,87.6398,0,25,100,
196,0.491,0.491,0,0,0,0,0,0,0,0,0,1.42527,0,6.99273,0,9.64037,87.6398,0,0,0,
197,0.544,0.544,0,0,0,0,0,0,0,0,0,1.42527,0,6.99273,0,9.64037,87.6398,0,0,0,
198,0.759,0.759,0,0,0,0,0,0,0,0,0,1.42527,0,6.99273,0,9.64037,87.6398,0,0,0,
199,1.08,1.08,0,0,0,0,0,0,0,0,0,1.42527,0,6.99273,0,9.64037,87.6398,0,0,0,
200,0.998,0.998,77,0.697188,76.3028,0.100604,77,0.539,0,0,-0.539,1.42527,0.539,6.99273,0,10.1545,92.3141,0,0,0,
201,0.803,0.803,225,4.58225,220.418,0.222307,225,1.575,0.688725,0.661176,-0.886275,0.886275,0.886275,7.48322,0,11,100,0,0,0,
202,0.8,0.8,361,19.4117,341.588,0.303378,361,2.527,2.527,2.42592,0,0,0,8.28973,0,11,100,0,0,0,
203,0.809,0.809,405,25.2757,379.724,0.314755,405,2.835,2.835,2.7216,0,0,0,8.28973,0,11,100,0,0,0,
