Time step,Grid total load,Grid net load,Strata 1 total load,Strata 2 total load,
317,1.182,1.182,0.591,0.591,
318,1.626,1.626,0.813,0.813,
319,2.246,2.246,1.123,1.123,
320,2.05,2.05,1.025,1.025,
321,1.606,-0.53007,-0.0509,-0.47917,
322,1.6,-3.47978,-1.5313,-1.94848,
323,1.618,-4.69136,-2.0866,-2.60476,
324,1.566,-5.40162,-2.4147,-2.98692,
325,1.558,-4.91282,-2.1907,-2.72212,
326,1.544,-4.00774,-1.7759,-2.23184,
327,1.616,-2.24662,-0.9647,-1.28192,
328,1.896,-0.48864,-0.1464,-0.34224,
329,2.544,0,0,0,
330,3.32,3.32,1.66,1.66,
331,3.734,3.734,1.867,1.867,
332,3.66,10.26,5.13,5.13,
333,3.192,9.792,4.896,4.896,
334,2.59,9.19,4.595,4.595,
335,1.988,7.58,3.72558,3.85442,
336,1.358,1.358,0.679,0.679,
337,1.132,1.132,0.566,0.566,
338,1.044,1.044,0.522,0.522,
339,1.038,1.038,0.519,0.519,
340,1.03,1.03,0.515,0.515,
341,1.15,1.15,0.575,0.575,
342,1.59,1.59,0.795,0.795,
343,2.218,2.218,1.109,1.109,
344,2.062,2.062,1.031,1.031,
345,1.666,1.666,0.833,0.833,
346,1.68,1.68,0.84,0.84,
347,1.67,0.670232,0.499067,0.171165,
348,1.578,-2.74416,-1.1946,-1.54956,
349,1.558,-1.24892,-0.5092,-0.73972,
350,1.544,-2.84026,-1.2401,-1.60016,
351,1.616,0,0,0,
352,1.896,-0.337422,-0.00292222,-0.3345,
353,2.544,0,0,0,
354,3.32,3.32,1.66,1.66,
355,3.734,3.734,1.867,1.867,
356,3.66,10.26,5.13,5.13,
357,3.192,9.792,4.896,4.896,
358,2.59,9.19,4.595,4.595,
359,1.988,7.58,3.72558,3.85442,
360,1.362,1.362,0.681,0.681,
361,1.152,1.152,0.576,0.576,
362,1.072,1.072,0.536,0.536,
363,1.054,1.054,0.527,0.527,
364,1.042,1.042,0.521,0.521,
365,1.15,1.15,0.575,0.575,
366,1.58,1.58,0.79,0.79,
367,2.21,2.21,1.105,1.105,
368,2.052,2.052,1.026,1.026,
369,1.666,1.666,0.833,0.833,
370,1.676,1.676,0.838,0.838,
371,1.652,-0.728984,-0.1439,-0.585084,
372,1.566,-3.36474,-1.4799,-1.88484,
373,1.558,-1.31102,-0.5377,-0.77332,
374,1.544,0.21506,0.1621,0.05296,
375,1.616,-0.20974,-0.0299,-0.17984,
376,1.896,-0.25266,-0.0381,-0.21456,
377,2.544,0,0,0,
378,3.32,3.32,1.66,1.66,
379,3.734,3.734,1.867,1.867,
380,3.66,10.26,5.13,5.13,
381,3.192,9.792,4.896,4.896,
382,2.59,9.19,4.595,4.595,
383,2.012,7.604,3.73758,3.86642,
384,1.406,1.406,0.703,0.703,
385,1.2,1.2,0.6,0.6,
386,1.126,1.126,0.563,0.563,
387,1.108,1.108,0.554,0.554,
388,1.1,1.1,0.55,0.55,
389,1.216,1.216,0.608,0.608,
390,1.652,1.652,0.826,0.826,
391,2.276,2.276,1.138,1.138,
392,2.086,2.086,1.043,1.043,
393,1.652,-0.741404,-0.1496,-0.591804,
394,1.634,-3.49546,-1.5371,-1.95836,
395,1.618,-4.81556,-2.1436,-2.67196,
396,1.566,-5.52582,-2.4717,-3.05412,
397,1.558,-5.26058,-2.3503,-2.91028,
398,1.544,-4.38034,-1.9469,-2.43344,
