Time step,Load requested [kW],Load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
59,0.813,0.813,175,3.62654,171.373,0.224828,155.583,0.311166,0,0,-0.311166,0.646609,0.311166,0.551366,0,5.71935,95.3225,0,0,0,
60,0.783,0.783,219,6.5368,212.463,0.259521,192.567,0.385134,0.0496912,0.0472066,-0.335442,0.335442,0.335442,0.769182,0,6,100,0,0,0,
61,0.779,0.779,245,11.6264,233.374,0.294055,210.701,0.421403,0.421403,0.400333,0,0,0,1.00399,0,6,100,0,0,0,
62,0.772,0.772,205,7.45063,197.549,0.274412,178.814,0.357628,0.357628,0.339747,0,0,0,1.00399,0,6,100,0,0,0,
63,0.808,0.808,147,3.83562,143.164,0.248586,129.848,0.259696,0.850526,0.808,0.59083,0,0,1.00399,0.59083,5.29382,88.2304,0,0,0,
64,0.948,0.948,177,49.6073,127.393,0.469917,103.885,0.20777,0.620932,0.589886,0.413162,0.844043,0,0.413162,0.413162,4.8,80,0,0,0,
65,1.272,1.272,1,0.000759472,0.999241,0.00843858,0.906714,0.00181343,0.00181343,0.00172276,0,1.43427,0,0,0,4.8,80,0,0,0,
66,1.66,1.66,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
67,1.867,1.867,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
68,1.83,1.83,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
69,1.596,1.596,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
70,1.295,1.295,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
71,1.001,1.001,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
72,0.701,0.701,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
73,0.599,0.599,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
74,0.563,0.563,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
75,0.559,0.559,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
76,0.556,0.556,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
77,0.612,0.612,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
