Time step,Load requested [kW],Load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
137,1.308,1.308,2,0.00182142,1.99818,0.010119,2,0.012,1.37684,1.308,1.36484,0,0,9.2971,1.36484,8.56133,85.6133,0,0,0,
138,1.695,1.695,0,0,0,0,0,0,0,0,0,1.51649,0,7.93225,0,8.56133,85.6133,0,0,0,
139,1.902,1.902,0,0,0,0,0,0,0,0,0,1.51649,0,7.93225,0,8.56133,85.6133,0,12,50,
140,1.866,1.866,0,0,0,0,0,0,0,0,0,1.51649,0,7.93225,0,8.56133,85.6133,3.3,15.135,63.0625,
141,1.631,1.631,0,0,0,0,0,0,0,0,0,1.51649,0,7.93225,0,8.56133,85.6133,3.3,18.27,76.125,
142,1.324,1.324,0,0,0,0,0,0,0,0,0,1.51649,0,7.93225,0,8.56133,85.6133,3.3,21.405,89.1875,
143,1.012,1.012,0,0,0,0,0,0,0,0,0,1.51649,0,7.93225,0,8.56133,85.6133,2.73158,24,100,
144,0.697,0.697,0,0,0,0,0,0,0,0,0,1.51649,0,7.93225,0,8.56133,85.6133,0,24,100,
145,0.596,0.596,0,0,0,0,0,0,0,0,0,1.51649,0,7.93225,0,8.56133,85.6133,0,24,100,
146,0.561,0.561,0,0,0,0,0,0,0,0,0,1.51649,0,7.93225,0,8.56133,85.6133,0,24,100,
147,0.557,0.557,0,0,0,0,0,0,0,0,0,1.51649,0,7.93225,0,8.56133,85.6133,0,24,100,
148,0.555,0.555,0,0,0,0,0,0,0,0,0,1.51649,0,7.93225,0,8.56133,85.6133,0,0,0,
149,0.612,0.612,0,0,0,0,0,0,0,0,0,1.51649,0,7.93225,0,8.56133,85.6133,0,0,0,
150,0.836,0.836,0,0,0,0,0,0,0,0,0,1.51649,0,7.93225,0,8.56133,85.6133,0,0,0,
151,1.149,1.149,0,0,0,0,0,0,0,0,0,1.51649,0,7.93225,0,8.56133,85.6133,0,0,0,
152,1.055,1.055,101,1.19546,99.8045,0.131514,101,0.606,0,0,-0.606,1.51649,0.606,7.93225,0,9.13623,91.3623,0,0,0,
153,0.837,0.837,221,4.33727,216.663,0.218063,221,1.326,0.415509,0.394733,-0.910491,0.910491,0.910491,8.47765,0,10,100,0,0,0,
154,0.826,0.826,347,15.9309,331.069,0.291609,347,2.082,2.082,1.9779,0,0,0,9.2971,0,10,100,0,0,0,
155,0.811,0.811,365,15.1027,349.897,0.28396,365,2.19,2.19,2.0805,0,0,0,9.2971,0,10,100,0,0,0,
156,0.783,0.783,535,96.7885,438.211,0.413674,535,3.21,3.21,3.0495,0,0,0,9.2971,0,10,100,0,0,0,
157,0.779,0.779,419,38.0553,380.945,0.345395,419,2.514,2.514,2.3883,0,0,0,9.2971,0,10,100,0,0,0,
158,0.772,0.772,331,20.7635,310.236,0.315152,331,1.986,1.986,1.8867,0,0,0,9.2971,0,10,100,0,0,0,
159,0.808,0.808,327,52.6982,274.302,0.400774,327,1.962,1.962,1.8639,0,0,0,9.2971,0,10,100,0,0,0,
160,0.948,0.948,176,14.0749,161.925,0.33462,176,1.056,1.056,1.0032,0,0,0,9.2971,0,10,100,0,0,0,
161,1.272,1.272,3,0.00404648,2.99595,0.014987,3,0.018,1.33895,1.272,1.32095,0,0,9.2971,1.32095,8.6076,86.076,0,0,0,
162,1.66,1.66,0,0,0,0,0,0,0,0,0,1.46772,0,7.97615,0,8.6076,86.076,0,0,0,
163,1.867,1.867,0,0,0,0,0,0,0,0,0,1.46772,0,7.97615,0,8.6076,86.076,0,12,50,
164,1.83,1.83,0,0,0,0,0,0,0,0,0,1.46772,0,7.97615,0,8.6076,86.076,3.3,15.135,63.0625,
165,1.596,1.596,0,0,0,0,0,0,0,0,0,1.46772,0,7.97615,0,8.6076,86.076,3.3,18.27,76.125,
166,1.295,1.295,0,0,0,0,0,0,0,0,0,1.46772,0,7.97615,0,8.6076,86.076,3.3,21.405,89.1875,
167,0.994,0.994,0,0,0,0,0,0,0,0,0,1.46772,0,7.97615,0,8.6076,86.076,2.73158,24,100,
168,0.679,0.679,0,0,0,0,0,0,0,0,0,1.46772,0,7.97615,0,8.6076,86.076,0,24,100,
169,0.566,0.566,0,0,0,0,0,0,0,0,0,1.46772,0,7.97615,0,8.6076,86.076,0,24,100,
170,0.526,0.526,0,0,0,0,0,0,0,0,0,1.46772,0,7.97615,0,8.6076,86.076,0,24,100,
171,0.525,0.525,0,0,0,0,0,0,0,0,0,1.46772,0,7.97615,0,8.6076,86.076,0,24,100,
172,0.522,0.522,0,0,0,0,0,0,0,0,0,1.46772,0,7.97615,0,8.6076,86.076,0,0,0,
173,0.582,0.582,0,0,0,0,0,0,0,0,0,1.46772,0,7.97615,0,8.6076,86.076,0,0,0,
174,0.808,0.808,0,0,0,0,0,0,0,0,0,1.46772,0,7.97615,0,8.6076,86.076,0,0,0,
175,1.123,1.123,0,0,0,0,0,0,0,0,0,1.46772,0,7.97615,0,8.6076,86.076,0,0,0,
176,1.022,1.022,113,1.499,111.501,0.147394,113,0.678,0,0,-0.678,1.46772,0.678,7.97615,0,9.25081,92.5081,0,0,0,
177,0.803,0.803,279,10.2881,268.712,0.275483,279,1.674,0.884281,0.840067,-0.789719,0.789719,0.789719,8.58635,0,10,100,0,0,0,
178,0.8,0.8,404,34.2551,369.745,0.33952,404,2.424,2.424,2.3028,0,0,0,9.2971,0,10,100,0,0,0,
179,0.809,0.809,503,74.0358,428.964,0.391126,503,3.018,3.018,2.8671,0,0,0,9.2971,0,10,100,0,0,0,
180,0.783,0.783,540,100.663,439.337,0.41713,540,3.24,3.24,3.078,0,0,0,9.2971,0,10,100,0,0,0,
181,0.779,0.779,500,88.79,411.21,0.411552,500,3,3,2.85,0,0,0,9.2971,0,10,100,0,0,0,
182,0.772,0.772,452,93.4249,358.575,0.429448,452,2.712,2.712,2.5764,0,0,0,9.2971,0,10,100,0,0,0,
183,0.808,0.808,326,51.3629,274.637,0.398332,326,1.956,1.956,1.8582,0,0,0,9.2971,0,10,100,0,0,0,
